# index;voltage_out
637;-3.31927e-05
638;-3.34192e-05
639;-3.36587e-05
640;-3.39104e-05
641;-3.41734e-05
642;-3.44471e-05
643;-3.47304e-05
644;-3.50224e-05
645;-3.53222e-05
646;-3.56287e-05
647;-3.5941e-05
648;-3.6258e-05
649;-3.65786e-05
650;-3.69017e-05
651;-3.72262e-05
652;-3.75512e-05
653;-3.78753e-05
654;-3.81976e-05
655;-3.8517e-05
656;-3.88323e-05
657;-3.91426e-05
658;-3.94467e-05
659;-3.97437e-05
660;-4.00325e-05
661;-4.03123e-05
662;-4.0582e-05
663;-4.08407e-05
664;-4.10878e-05
665;-4.13222e-05
666;-4.15434e-05
667;-4.17506e-05
668;-4.19431e-05
669;-4.21203e-05
670;-4.22819e-05
671;-4.24272e-05
672;-4.25559e-05
673;-4.26676e-05
674;-4.27621e-05
675;-4.28392e-05
676;-4.28994e-05
677;-4.29413e-05
678;-4.29655e-05
679;-4.29721e-05
680;-4.29614e-05
681;-4.29336e-05
682;-4.28888e-05
683;-4.28276e-05
684;-4.27502e-05
685;-4.26572e-05
686;-4.25491e-05
687;-4.24273e-05
688;-4.2291e-05
689;-4.21415e-05
690;-4.19797e-05
691;-4.18063e-05
692;-4.16222e-05
693;-4.14282e-05
694;-4.12254e-05
695;-4.10147e-05
696;-4.07971e-05
697;-4.05735e-05
698;-4.03452e-05
699;-4.01131e-05
700;-3.98783e-05
701;-3.96419e-05
702;-3.9405e-05
703;-3.91688e-05
704;-3.89342e-05
705;-3.87025e-05
706;-3.84747e-05
707;-3.82518e-05
708;-3.80349e-05
709;-3.7825e-05
710;-3.76231e-05
711;-3.74302e-05
712;-3.72471e-05
713;-3.70749e-05
714;-3.69143e-05
715;-3.67661e-05
716;-3.66311e-05
717;-3.65099e-05
718;-3.64025e-05
719;-3.63111e-05
720;-3.62353e-05
721;-3.61756e-05
722;-3.61324e-05
723;-3.61061e-05
724;-3.60968e-05
725;-3.61049e-05
726;-3.61304e-05
727;-3.61734e-05
728;-3.6234e-05
729;-3.63111e-05
730;-3.64063e-05
731;-3.65185e-05
732;-3.66476e-05
